弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
543.55800,1,25,16777215,Wed Mar  8 11:59:14 2023,0,2ffc44a4,1267994759323209728	,8,刚拆迁的我看莽村这一段觉得太真实了,刚 拆迁 看莽 村 一段 太 真实
1083.50300,1,25,16777215,Wed Mar  8 11:34:16 2023,0,17decc1c,1267982190302822656	,8,天真幼稚,天真 幼稚
594.59700,1,25,16777215,Wed Mar  8 11:24:14 2023,0,17decc1c,1267977145217498112	,8,不得不做出的牺牲vs原始积累,不得不 做出 牺牲 vs 原始积累
304.88300,1,25,16777215,Wed Mar  8 11:16:12 2023,0,17decc1c,1267973103602932224	,8,地主,地主
1041.51800,1,25,16777215,Wed Mar  8 07:25:28 2023,0,b600999a,1267856966655572224	,8,你听过沉默的真相吗,听 沉默 真相
25.64200,1,25,16777215,Wed Mar  8 00:57:00 2023,0,4352c026,1267661445634595584	,8,开端也好看,开端 好看
611.65300,1,25,16777215,Wed Mar  8 00:29:58 2023,0,cefffdcc,1267647841560702208	,8,哈哈哈哈 笑死,哈哈哈哈 笑 死
1052.99100,1,25,16777215,Tue Mar  7 21:39:28 2023,0,ee71048e,1267562028877436672	,8,黄瑶使用的手段不合法，但如果不是他拿出了账本，高启强到最后依然是有全身而退的可能性的，至少润掉的可能性还是有的,黄瑶 手段 不 合法 ， 拿出 账本 ， 高启 强 依然 全身而退 可能性 ， 至少 润 掉 可能性
730.62800,1,25,16777215,Tue Mar  7 21:32:20 2023,0,ee71048e,1267558432001718784	,8,太穷，太自卑，太富，太疯狂,太穷 ， 太 自卑 ， 太富 ， 太 疯狂
111.84600,5,25,41194,Tue Mar  7 18:11:21 2023,0,bfe7648,1267457277242244608	,8,辩证,辩证
629.93500,1,25,16777215,Tue Mar  7 18:05:50 2023,0,9b915efe,1267454501636705792	,8,弹幕们简直比窦娥还冤,弹幕 简直 比窦娥 还 冤
633.34900,1,25,16777215,Tue Mar  7 16:57:12 2023,0,adaf2cc7,1267419957701265152	,8,《钢的琴》,《 钢 琴 》
788.73400,1,25,16777215,Tue Mar  7 16:12:14 2023,0,1471a6b0,1267397320262492160	,8,我很不喜欢高家团伙，因为我面对这些人，我可能就是被悄无声息干掉的,很 不 喜欢 高家 团伙 ， 面对 人 ， 悄无声息 干掉
